YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008111418878639072,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880623497500599,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4255535628530343,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767300225021333,0.0,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.054974860689168,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.522206854648581,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.645386001542029,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.10111543394533098,0.0,0.0,0.0,0.0,10.047704144442466,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.22185400418062112,0.0,0.0,0.0,0.0,12.20585607099234,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.3535729500486301,0.0,0.0,0.0,0.0,13.677608611407239,0.0,0.0,0.0
2037,0.0,0.0,0.027222888835245998,0.49726096097354877,0.0,0.0,0.0,0.0,15.712567561508044,0.0,0.0,0.0
2038,0.09880917622821773,0.0,0.32646577470720073,0.6539946605080791,0.0,0.0,0.0,0.0,19.180640415737614,0.0,0.0,0.0
2039,0.2060495318168303,0.0,0.6523822873423357,0.824946306264894,0.0,0.0,0.0,0.0,20.744277245409446,0.0,0.0,0.0
2040,0.2626115410743778,0.0,1.0073147232345676,1.0113921504931052,0.09606693309656801,0.0,0.0,0.0,22.069872783997134,0.0,0.0,0.0
2041,0.30316025471994185,0.0,1.393810191697501,1.2147215164294238,0.2007672659557091,0.0,0.0,0.0,23.309035992565754,0.0,0.0,0.0
2042,0.3469408953246548,0.0,1.8146319748863537,1.4364466499731894,0.3148670091989722,0.0,0.0,0.0,24.648291974261017,0.0,0.0,0.0
2043,0.38321217536365504,0.0,2.2727803810616805,1.6782134109865279,0.4114538264576575,0.0,0.0,0.0,25.9367391329991,0.0,0.0,0.0
2044,0.41555438257472505,0.0,2.7715125169888872,1.941812873627916,0.42843129757506004,0.0,0.0,0.0,25.9367391329991,0.0,0.0,0.0
2045,0.45043595839767125,0.0,3.314363644556597,2.229193910612831,0.4469279307166551,0.0,0.0,0.0,25.9367391329991,0.008685711856143825,0.0,0.0
2046,0.4846226821125901,0.0,3.8293328021313475,2.542483793676487,0.4469279307166551,0.0,0.0,0.0,25.9367391329991,0.161617541233935,0.0,0.0
2047,0.5181145537194835,0.0,4.254716305892421,2.8839904816647834,0.4469279307166551,0.0,0.0,0.0,25.9367391329991,0.31454937061172716,0.0,0.0
2048,0.5509115732146488,0.0,4.254716305892421,3.2562244367320115,0.5565696301052165,0.0,0.0,0.0,25.9367391329991,0.4674811999722645,0.0,0.0
2049,0.5830137406054878,0.0,4.254716305892421,3.6619160454140744,0.63195453933165,0.0,0.0,0.0,25.9367391329991,0.6204130293500558,0.0,0.0
2050,0.6144210558883026,0.0,4.254716305892421,4.1040344988832675,0.6704654803478938,0.0,0.0,0.0,25.9367391329991,0.7733448587278473,0.0,0.0
