YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,windonshore-power
2023,0.0,0.5059,8.2996,1.978,0.0,2.7344,0.0,0.373,1.743,3.6188000000000002,3.03836,1.6275,0.469
2024,0.48000000000000004,0.642262,8.7496,2.428,0.7,6.0244,0.0,0.373,2.3793094706559392,3.8610310000000005,3.2277340000000003,4.40633,0.629
2025,0.53,0.673462,8.7496,2.778,0.7,6.0244,0.0,0.373,2.8322745790334043,4.051231,3.2837340000000004,7.2832159999999995,1.43915
2026,0.53,0.7248001895848063,8.5396,3.128,0.7,6.0244,0.0,0.373,3.360120915455688,4.051231,3.2837340000000004,8.615586,2.67114
2027,0.53,0.908294360755145,8.9446,3.128,0.7,6.0244,0.0,0.373,3.5991808813531945,4.051231,3.2837340000000004,8.680486,2.77194
2028,0.53,0.908294360755145,8.9446,3.128,0.7,6.0244,0.0,0.373,3.2086808813531946,4.051231,3.2837340000000004,8.680486,2.77194
2029,0.53,0.908294360755145,8.9446,3.128,0.7,7.1244,0.0,0.373,3.2086808813531946,4.056531,3.2837340000000004,8.680486,2.77194
2030,0.53,0.908294360755145,8.6746,3.128,1.2169861164321472,7.1244,0.0,0.373,3.395871214686528,5.105126992678263,3.2517340000000003,8.680486,2.77194
2031,0.664,1.2753415836918807,8.6746,3.128,2.5973965442269455,7.1894,0.0,0.373,2.8325378813531947,5.554898188142632,2.6548102695673315,11.743668242461972,2.77194
2032,0.798,1.4390376931264184,8.6746,3.128,3.188326080561325,7.2543999999999995,0.0,0.373,3.3325378813531947,6.659288227524028,2.744903125390242,12.977124962321994,2.77194
2033,0.932,1.760845231751702,8.6746,3.128,4.558033568191565,7.3194,0.0,0.373,3.3325378813531947,7.111340443753011,2.822298761885599,18.068810977671042,2.73894
2034,1.066,2.1470142781020423,8.6086,3.128,5.959213462198843,7.384399999999999,0.0,0.373,3.3325378813531947,7.948885587684877,2.6438680000000003,22.623297670892367,2.73894
2035,1.2,2.5884171337224506,8.3086,3.128,7.437897006794804,7.449399999999995,0.0,0.373,3.3325378813531947,9.348554190729017,1.919648102532518,27.08212933682734,2.73894
2036,1.6796369898134267,2.9135072287595536,8.3086,3.128,8.737105364780932,7.514399999999996,0.0,0.373,3.3325378813531947,9.920016897908223,1.997365652948374,33.40332723553848,2.73894
2037,3.63779658304274,2.916809034950612,8.3086,3.128,9.05144899860103,7.579399999999995,0.0,0.373,3.3325378813531947,10.456593051411815,2.010390948233162,41.276294789986046,2.73894
2038,5.260796805953522,2.9217788106861153,8.3086,3.128,9.173577035681008,7.833772914271715,0.0,0.373,3.3325378813531947,11.462638542293694,1.8962292063250465,47.864225503438576,2.73894
2039,5.727385843607513,2.9217788106861153,8.3086,3.128,9.29403208595167,9.981177950775303,0.0,0.373,3.3325378813531947,11.714779737458565,2.1089236620358234,54.174644491169104,2.73894
2040,6.66665720163876,2.9217788106861153,8.038599999999999,3.128,9.398957244971413,12.19124969489012,0.0,0.373,3.3325378813531947,11.822445439171226,2.4566926741832553,60.929439253659055,2.73894
2041,7.084830763108002,3.0600000000000005,8.038599999999999,3.128,9.461999961614438,14.014381041444134,0.0,0.373,3.3325378813531947,13.818735829279333,2.4566926741832553,65.82672632611053,2.73894
2042,8.311233777054372,3.0600000000000005,8.038599999999999,3.128,9.461999961614438,16.405133620507215,0.0,0.373,3.3325378813531947,13.962526473256,2.4566926741832553,75.04539590594085,2.48894
2043,8.41937468545643,3.0600000000000005,8.038599999999999,3.128,9.461999961614438,19.738633962422806,0.0,0.373,3.3325378813531947,14.327799517267096,2.4566926741832553,83.61820009894075,2.39894
2044,8.548076696426643,3.0600000000000005,8.038599999999999,3.128,9.461999961614438,23.729367763517764,0.0,0.373,3.3325378813531947,14.327799517267096,2.4566926741832553,85.73026795121469,2.39894
2045,8.756145271296603,3.0600000000000014,8.038599999999999,3.128,9.461999961614438,28.04393805159079,0.0,0.373,3.263537881353195,14.327799517267096,2.4566926741832553,87.78012466668567,2.39894
2046,10.796439759452921,3.0600000000000014,7.7386,3.128,9.461999961614438,31.12636946930064,0.0,0.373,3.263537881353195,14.327799517267096,2.3666926741832555,87.69412466668567,2.39894
2047,12.02165673667631,3.0600000000000014,6.9746,3.128,9.461999961614438,35.69259384479385,0.0,0.373,3.263537881353195,14.327799517267096,2.353692674183255,87.30572466668568,2.38294
2048,12.667139571108907,3.0600000000000014,6.9746,3.128,9.461999961614438,40.38211868772526,0.0,0.373,3.263537881353195,14.327799517267096,2.353692674183255,87.09882466668567,2.38294
2049,13.354056533733631,3.0600000000000005,6.6446,3.128,9.461999961614438,45.79569801062582,0.0,0.373,3.2515378813531948,14.327799517267096,2.353692674183255,85.13785466668568,2.38294
2050,15.366694835871389,3.0355180000000006,5.0066,3.128,9.461999961614438,51.55411797496682,0.0,0.373,3.2515378813531948,14.327799517267096,2.353692674183255,81.76824466668567,2.38294
