YEAR,carbon-capture-and-storage-transmission-and-distribution
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,1.7302999006047244
2038,3.788340600973637
2039,6.504107962173411
2040,9.373472946528702
2041,9.57165766376895
2042,10.000000000004
2043,10.000000000004
2044,10.000000000004002
2045,10.000000000004
2046,10.000000000003993
2047,10.000000000004
2048,10.00000000000399
2049,10.000000000003993
2050,10.000000000004068
