YEAR,Cost of electricity generation
2023,58.842553560725946
2024,67.27690493394569
2025,69.38945499779719
2026,71.27957614784322
2027,70.79613124263733
2028,69.57862117903429
2029,67.16616692527857
2030,64.6628502418886
2031,69.40070058944681
2032,71.15108382838666
2033,72.74176990638583
2034,74.1839540074591
2035,75.87420370047418
2036,75.72531001866012
2037,76.41060838189362
2038,77.2748070173239
2039,78.90885683252654
2040,80.70093472861888
2041,82.6596160495791
2042,84.9603170621344
2043,86.78893158295175
2044,89.49529683677855
2045,92.0799028485669
2046,94.08793304600081
2047,96.3467065761295
2048,98.82702169772602
2049,101.16216523733159
2050,103.61540385808698
